Datetime,Demand
2020-04-19 0:00:00,24230
2020-04-19 1:00:00,22979
2020-04-19 2:00:00,22086
2020-04-19 3:00:00,21468
2020-04-19 4:00:00,21378
2020-04-19 5:00:00,21379
2020-04-19 6:00:00,21633
2020-04-19 7:00:00,21652
2020-04-19 8:00:00,21190
2020-04-19 9:00:00,20897
2020-04-19 10:00:00,20726
2020-04-19 11:00:00,20871
2020-04-19 12:00:00,20658
2020-04-19 13:00:00,20462
2020-04-19 14:00:00,19850
2020-04-19 15:00:00,19454
2020-04-19 16:00:00,19949
2020-04-19 17:00:00,21219
2020-04-19 18:00:00,23365
2020-04-19 19:00:00,25238
2020-04-19 20:00:00,27123
2020-04-19 21:00:00,27879
2020-04-19 22:00:00,26817
2020-04-19 23:00:00,25218
2020-04-20 0:00:00,23508
